City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,29.89,58,0,0.89,US,1720368008
1,bethel,41.3712,-73.414,30.36,71,80,0.45,US,1720368141
2,puerto ayora,-0.7393,-90.3518,24.98,89,29,2.24,EC,1720368296
3,port-aux-francais,-49.35,70.2167,1.33,82,88,12.15,TF,1720368297
4,margaret river,-33.95,115.0667,15.69,58,52,5.08,AU,1720368298
5,cumana,10.4635,-64.1775,27.62,76,21,2.74,VE,1720368299
6,pisco,-13.7,-76.2167,18.03,82,0,3.6,PE,1720368300
7,waitangi,-43.9535,-176.5597,7.12,85,78,4.02,NZ,1720368301
8,morehead city,34.7229,-76.726,32.01,78,0,7.2,US,1720368303
9,sabang,5.8933,95.3214,28.54,78,88,5.44,ID,1720368304
10,hawaiian paradise park,19.5933,-154.9731,21.13,91,43,1.79,US,1720368305
11,grytviken,-54.2811,-36.5092,-3.49,67,69,2.6,GS,1720368306
12,acarau,-2.8856,-40.12,30.13,60,81,5.8,BR,1720368307
13,utrik,11.2278,169.8474,27.83,80,100,6.28,MH,1720368308
14,uturoa,-16.7333,-151.4333,26.06,79,5,7.87,PF,1720368309
15,olonkinbyen,70.9221,-8.7187,1.5,85,66,3.33,SJ,1720368310
16,avarua,-21.2078,-159.775,22.03,88,75,2.06,CK,1720368311
17,georgetown,5.4112,100.3354,27.97,65,20,2.24,MY,1720368168
18,edinburgh of the seven seas,-37.0676,-12.3116,13.66,77,3,13.85,SH,1720368313
19,puerto natales,-51.7236,-72.4875,0.25,93,75,2.57,CL,1720368314
20,yellowknife,62.456,-114.3525,21.29,49,75,2.06,CA,1720368087
21,hamilton,39.1834,-84.5333,29.48,56,0,1.34,US,1720368032
22,hermanus,-34.4187,19.2345,8.78,79,98,15.43,ZA,1720368317
23,udachny,66.4167,112.4,17.57,73,31,2.97,RU,1720368096
24,manggar,-2.8833,108.2667,27.12,80,100,3.19,ID,1720368320
25,luchegorsk,46.4764,134.2569,19.24,97,32,0.39,RU,1720368321
26,la'ie,21.6477,-157.9253,23.58,75,3,5.47,US,1720368322
27,rybnaya sloboda,55.4613,50.1409,19.89,64,0,5.28,RU,1720368323
28,rongelap,11.1635,166.8941,28.18,79,15,7.06,MH,1720368324
29,port mathurin,-19.6833,63.4167,23.15,72,66,7.81,MU,1720368325
30,sarangani,5.4033,125.4636,28.75,75,21,2.4,PH,1720368326
31,adamstown,-25.066,-130.1015,19.46,69,100,10.68,PN,1720368327
32,montelibano,7.9829,-75.4229,29.5,73,27,1.13,CO,1720368328
33,suva,-18.1416,178.4415,21.71,73,75,3.09,FJ,1720368329
34,saint-pierre,-21.3393,55.4781,21.82,73,75,1.54,RE,1720368330
35,invercargill,-46.4,168.35,10.01,80,71,4.92,NZ,1720368222
36,lebu,-37.6167,-73.65,9.48,74,13,6.87,CL,1720368153
37,aykhal,66.0,111.5,16.24,76,17,2.3,RU,1720368333
38,dolinsk,47.35,142.8,12.07,99,100,1.97,RU,1720368334
39,arauca,7.0847,-70.7591,28.0,89,40,0.51,CO,1720368335
40,olyokminsk,60.3736,120.4264,15.41,68,16,2.13,RU,1720368337
41,ta`u,-14.2336,-169.5144,26.93,78,6,6.13,AS,1720368338
42,bredasdorp,-34.5322,20.0403,10.11,82,93,12.19,ZA,1720368339
43,howrah,22.5892,88.3103,29.0,89,40,3.09,IN,1720368091
44,west island,-12.1568,96.8225,27.99,89,20,6.17,CC,1720368341
45,papao,-17.75,-149.55,23.82,81,33,9.12,PF,1720368342
46,temiskaming shores,47.4938,-79.7153,23.89,52,5,0.48,CA,1720368343
47,nemuro,43.3236,145.575,14.06,100,100,3.14,JP,1720368344
48,anadyr,64.75,177.4833,12.28,81,40,11.62,RU,1720368070
49,san sebastian de la gomera,28.0916,-17.1133,26.88,73,20,3.09,ES,1720368346
50,sandnessjoen,66.0217,12.6316,19.29,63,20,6.17,NO,1720368347
51,minas de matahambre,22.5887,-83.9447,31.82,59,6,4.87,CU,1720368348
52,stanley,54.868,-1.6985,15.99,87,20,4.63,GB,1720368250
53,ola,59.5833,151.2833,9.97,95,100,0.96,RU,1720368350
54,yangjiang,21.85,111.9667,27.83,83,44,2.53,CN,1720368351
55,aasiaat,68.7098,-52.8699,3.21,92,83,2.55,GL,1720368353
56,port alfred,-33.5906,26.891,16.77,46,69,4.02,ZA,1720368354
57,bilao,11.488,122.5599,25.07,97,100,0.57,PH,1720368355
58,howard springs,-12.497,131.047,24.95,91,99,1.61,AU,1720368356
59,poltavka,54.3663,71.7632,17.33,88,100,5.24,RU,1720368357
60,yuzhno-kurilsk,44.0306,145.8556,13.47,100,100,1.99,RU,1720368358
61,port elizabeth,-33.918,25.5701,18.16,39,0,9.26,ZA,1720368180
62,piti village,13.4626,144.6933,27.49,91,20,2.57,GU,1720368361
63,kavieng,-2.5744,150.7967,25.85,87,100,4.06,PG,1720368362
64,sisimiut,66.9395,-53.6735,8.56,73,100,3.37,GL,1720368363
65,kill devil hills,36.0307,-75.676,31.0,70,0,4.12,US,1720368364
66,arraial do cabo,-22.9661,-42.0278,25.98,69,0,6.17,BR,1720368158
67,longyearbyen,78.2186,15.6401,5.91,81,75,3.6,SJ,1720368178
68,hovd,48.0056,91.6419,18.76,51,50,1.75,MN,1720368367
69,narvik,68.4384,17.4272,19.03,64,63,3.35,NO,1720368368
70,bilibino,68.0546,166.4372,7.6,93,100,1.54,RU,1720368370
71,urangan,-25.3,152.9,17.81,83,66,4.78,AU,1720368371
72,karasuk,53.7377,78.0403,19.34,92,96,3.8,RU,1720368372
73,montepuez,-13.1256,38.9997,21.0,38,1,1.45,MZ,1720368373
74,huilong,31.8111,121.655,27.49,84,100,3.9,CN,1720368374
75,flying fish cove,-10.4217,105.6791,25.82,94,100,4.63,CX,1720368375
76,saipan,15.1355,145.701,29.16,75,46,5.57,MP,1720368087
77,katsuren-haebaru,26.3369,127.8719,29.01,89,0,2.06,JP,1720368377
78,carnarvon,-24.8667,113.6333,17.64,84,0,3.77,AU,1720368378
79,afaahiti,-17.75,-149.2833,22.93,82,67,8.74,PF,1720368379
80,gulu,2.7746,32.299,18.95,94,91,1.7,UG,1720368380
81,nelson bay,-32.7167,152.15,13.38,96,94,0.45,AU,1720368381
82,ravar,31.2656,56.8055,33.6,12,14,3.04,IR,1720368382
83,kragero,58.8693,9.4149,19.14,54,79,8.5,NO,1720368384
84,laojunmiao,39.8333,97.7333,17.18,58,84,1.4,CN,1720368385
85,thompson,55.7435,-97.8558,18.09,77,75,5.14,CA,1720368386
86,new norfolk,-42.7826,147.0587,4.72,95,0,1.32,AU,1720368388
87,skeldon,5.8833,-57.1333,29.02,74,69,2.44,GY,1720368389
88,tazovsky,67.4667,78.7,13.67,68,5,4.5,RU,1720368391
89,pirai do sul,-24.5261,-49.9486,22.4,41,8,4.06,BR,1720368294
90,el granada,37.5027,-122.4694,22.02,80,20,4.12,US,1720368348
91,alice springs,-23.7,133.8833,7.75,100,100,1.54,AU,1720368394
92,ribeira grande,38.5167,-28.7,25.22,83,40,7.72,PT,1720368395
93,corinto,37.9407,22.9573,30.5,23,0,4.04,GR,1720368396
94,taoudenni,22.6783,-3.9836,48.03,6,18,3.86,ML,1720368397
95,punta arenas,-53.15,-70.9167,3.06,87,100,6.17,CL,1720368351
96,newman,37.3138,-121.0208,33.46,17,0,0.62,US,1720368218
97,iqaluit,63.7506,-68.5145,7.85,71,75,2.06,CA,1720368400
98,tsiombe,-25.3,45.4833,17.98,65,2,2.51,MG,1720368401
99,nishinoomote,30.7333,131.0,27.33,87,13,4.14,JP,1720368402
100,cabo san lucas,22.8909,-109.9124,34.54,53,0,4.44,MX,1720368166
101,camlachie,43.036,-82.1616,24.95,84,1,1.32,CA,1720368407
102,hadibu,12.65,54.0333,26.17,78,97,7.34,YE,1720368408
103,ushuaia,-54.8,-68.3,-0.19,74,0,4.12,AR,1720368180
104,guerrero negro,27.9769,-114.0611,24.22,60,0,2.71,MX,1720368410
105,hotan,37.0997,79.9269,30.25,17,94,4.48,CN,1720368412
106,woodward,36.4337,-99.3904,24.57,68,40,5.66,US,1720368414
107,lienz,46.8289,12.769,20.1,74,100,2.94,AT,1720368415
108,constantia,44.1833,28.65,29.38,58,0,3.49,RO,1720368416
109,mumford,5.2618,-0.759,25.75,81,54,6.23,GH,1720368417
110,iskateley,67.6803,53.1512,20.31,53,62,2.14,RU,1720368418
111,walvis bay,-22.9575,14.5053,15.61,67,9,8.5,NA,1720368420
112,blackmans bay,-43.0167,147.3167,4.07,88,0,3.15,AU,1720368190
113,jamestown,42.097,-79.2353,26.4,59,40,2.57,US,1720368422
114,sao joao da barra,-21.6403,-41.0511,28.05,77,65,5.71,BR,1720368125
115,zaozersk,69.4005,32.4476,13.48,89,100,7.85,RU,1720368424
116,alotau,-10.3069,150.4462,22.09,91,80,2.12,PG,1720368425
117,khorixas,-20.3667,14.9667,21.04,15,0,5.4,NA,1720368426
118,swakopmund,-22.6833,14.5333,15.55,82,15,3.13,NA,1720368427
119,santa terezinha,-29.9002,-50.0904,12.27,92,100,2.55,BR,1720368428
120,korla,41.7597,86.1469,28.26,19,0,3.6,CN,1720368429
121,qaqortoq,60.7167,-46.0333,6.65,89,75,1.53,GL,1720368430
122,whitehorse,60.7161,-135.0538,13.94,55,100,0.45,CA,1720368431
123,arteche,12.2645,125.4048,26.77,88,100,2.38,PH,1720368432
124,perth,-31.9333,115.8333,12.69,91,75,3.09,AU,1720368433
125,papatowai,-46.5619,169.4708,8.4,81,76,6.69,NZ,1720368435
126,kanggye,40.9695,126.5852,20.44,97,100,0.74,KP,1720368436
127,college,64.8569,-147.8028,10.99,93,100,3.09,US,1720368438
128,ust-nera,64.5667,143.2,6.81,98,95,2.15,RU,1720368439
129,khasab,26.1799,56.2477,35.09,38,7,4.12,OM,1720368440
130,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,93,100,0.0,RU,1720368441
131,nova sintra,14.8667,-24.7167,25.24,74,97,3.42,CV,1720368442
132,cidreira,-30.1811,-50.2056,12.86,90,100,3.05,BR,1720368443
133,susuman,62.7833,148.1667,8.26,90,68,1.37,RU,1720368444
134,kavaratti,10.5669,72.642,28.29,82,100,7.42,IN,1720368445
135,sinabang,2.4803,96.3801,26.4,85,93,3.16,ID,1720368446
136,urucara,-2.5364,-57.76,35.16,36,10,2.58,BR,1720368218
137,alofi,-19.0595,-169.9187,21.94,68,20,5.14,NU,1720368448
138,sarakhs,36.5449,61.1577,33.21,18,0,4.53,IR,1720368449
139,nakhon si thammarat,8.25,100.0,25.26,89,100,3.13,TH,1720368450
140,haiku-pauwela,20.9219,-156.3051,23.36,77,40,4.47,US,1720368451
141,qingdao,36.0986,120.3719,22.78,94,75,3.0,CN,1720368452
142,lazaro cardenas,17.9583,-102.2,28.96,68,84,0.74,MX,1720368453
143,remire-montjoly,4.9167,-52.2667,32.02,62,20,5.14,GF,1720368454
144,conception bay south,47.4999,-52.9981,19.4,97,100,5.45,CA,1720368455
145,pangoa,-12.1167,-73.0,27.08,64,97,0.63,PE,1720368458
146,mili,6.0815,171.735,28.42,73,100,6.26,MH,1720368459
147,road town,18.4167,-64.6167,32.05,70,40,6.17,VG,1720368442
148,gunnedah,-30.9833,150.25,10.32,75,100,2.24,AU,1720368462
149,nagqu,31.5,92.0,9.0,82,100,1.62,CN,1720368463
150,portland,45.5234,-122.6762,26.72,56,0,0.89,US,1720368464
151,mezhdurechenskiy,59.6,65.9333,19.52,63,3,2.12,RU,1720368465
152,tiksi,71.6872,128.8694,3.17,78,0,3.39,RU,1720368466
153,callao,-12.0667,-77.15,21.34,86,98,5.09,PE,1720368447
154,terbanggi besar,-4.8667,105.2333,24.98,89,92,1.02,ID,1720368468
155,naze,28.3667,129.4833,26.77,87,1,3.1,JP,1720368469
156,kintinku,-5.8833,35.2333,26.04,38,52,2.4,TZ,1720368470
157,fale old settlement,-9.3852,-171.2468,27.81,79,61,4.84,TK,1720368471
158,oranjemund,-28.55,16.4333,13.24,70,95,9.87,NA,1720368472
159,douz,33.4663,9.0203,43.6,10,0,3.13,TN,1720368474
160,fort mcmurray,56.7268,-111.381,20.54,60,87,1.97,CA,1720368475
161,nar'yan-mar,67.6713,53.087,20.31,54,63,2.02,RU,1720368476
162,kenora,49.8167,-94.4337,22.1,68,79,1.79,CA,1720368477
163,dudinka,69.4058,86.1778,17.1,50,2,7.62,RU,1720368478
164,charters towers,-20.1,146.2667,16.13,88,19,4.04,AU,1720368479
165,isafjordur,66.0755,-23.124,11.02,71,20,8.75,IS,1720368480
166,yoro,15.1333,-87.1333,26.34,82,100,0.33,HN,1720368481
167,tanda,26.55,82.65,27.19,87,94,3.87,IN,1720368482
168,visby,57.6409,18.296,20.02,59,0,10.8,SE,1720368483
169,lorengau,-2.0226,147.2712,25.71,86,100,1.15,PG,1720368484
170,ilulissat,69.2167,-51.1,11.01,66,40,2.57,GL,1720368485
171,mount gambier,-37.8333,140.7667,10.41,72,84,4.13,AU,1720368486
172,enewetak,11.3474,162.3373,28.36,80,32,6.61,MH,1720369002
173,mukalla,14.5425,49.1242,31.09,66,100,0.47,YE,1720368830
174,kingston,17.997,-76.7936,31.76,66,20,9.26,JM,1720368996
175,kodiak,57.79,-152.4072,10.73,87,100,2.06,US,1720369006
176,san patricio,28.017,-97.5169,32.05,71,91,6.93,US,1720369007
177,farkhar,36.5729,69.8578,22.07,27,0,1.06,AF,1720369008
178,danielskuil,-28.1887,23.5395,6.31,58,25,12.85,ZA,1720369010
179,barcelos,41.5388,-8.6151,19.82,50,34,4.77,PT,1720368996
180,fortuna,40.5982,-124.1573,19.99,92,0,0.0,US,1720369012
181,ulsteinvik,62.3432,5.8487,14.07,80,100,3.13,NO,1720369013
182,akureyri,65.6835,-18.0878,10.96,58,0,4.63,IS,1720369016
183,shache,38.4167,77.2406,27.88,23,99,2.76,CN,1720369017
184,jucas,-6.5253,-39.5275,30.89,45,80,4.06,BR,1720369018
185,dubbo,-32.25,148.6167,11.07,87,75,6.17,AU,1720369019
186,buala,-8.145,159.5921,26.33,85,99,5.42,SB,1720369020
187,mahibadhoo,3.7833,72.9667,28.82,74,100,4.15,MV,1720369021
188,puerto aysen,-45.4,-72.7,5.47,99,100,0.74,CL,1720368895
189,san antonio de pale,-1.4014,5.6325,23.12,83,52,5.94,GQ,1720369023
190,natchitoches,31.7668,-93.1335,28.47,83,40,0.0,US,1720369023
191,teguise,29.0605,-13.564,24.12,53,20,10.29,ES,1720369025
192,talnakh,69.4865,88.3972,18.03,47,2,6.0,RU,1720369026
193,antanifotsy,-19.65,47.3167,10.39,51,1,0.57,MG,1720369027
194,jayapura,-2.5333,140.7,25.66,95,100,2.28,ID,1720369028
195,altay,47.8667,88.1167,17.2,56,40,2.39,CN,1720369030
196,cururupu,-1.8283,-44.8683,29.67,61,71,2.35,BR,1720368786
197,xining,36.6167,101.7667,14.77,92,100,0.17,CN,1720369032
198,popondetta,-8.7537,148.2534,22.71,88,61,0.97,PG,1720369033
199,hasaki,35.7333,140.8333,25.22,91,41,0.82,JP,1720369034
200,wailua homesteads,22.0669,-159.378,23.44,84,20,5.14,US,1720369035
201,khandyga,62.6667,135.6,10.09,78,23,1.18,RU,1720369036
202,happy valley-goose bay,53.3168,-60.3315,30.17,20,20,8.75,CA,1720369037
203,codrington,-38.2667,141.9667,9.55,70,54,5.2,AU,1720369038
204,sitka,57.0531,-135.33,13.94,77,100,6.69,US,1720369039
205,isiro,2.7739,27.616,19.93,96,100,0.96,CD,1720369041
206,mart'vili,42.4144,42.3792,26.03,90,57,2.29,GE,1720369042
207,pandan,14.0453,124.1694,28.07,78,100,3.55,PH,1720369043
208,jucurutu,-6.0339,-37.0203,33.96,33,57,7.25,BR,1720369044
209,obama,35.4958,135.746,25.48,87,32,2.12,JP,1720369045
210,holualoa,19.6228,-155.9522,20.31,85,87,2.86,US,1720369046
211,mponela,-13.5319,33.7401,16.29,28,12,2.74,MW,1720369047
212,flin flon,54.7682,-101.865,21.91,56,40,5.14,CA,1720368909
213,el ejido,36.7763,-2.8146,25.42,75,86,3.7,ES,1720369050
214,navia,43.5354,-6.7194,19.94,55,45,2.55,ES,1720369051
215,sarkand,45.41,79.9186,19.46,65,79,5.7,KZ,1720369052
216,port douglas,-16.4833,145.4667,22.38,85,72,5.5,AU,1720369053
217,dalgopol,43.05,27.35,27.84,34,0,4.51,BG,1720369055
218,shingu,33.7333,135.9833,25.2,86,68,2.58,JP,1720369056
219,buchanan,5.8808,-10.0467,26.53,74,92,5.58,LR,1720369057
220,vilyuysk,63.7553,121.6247,16.24,62,77,3.04,RU,1720369058
221,tagab,34.855,69.6492,24.09,26,0,0.44,AF,1720369059
222,lihue,21.9789,-159.3672,23.77,76,20,5.14,US,1720369060
223,taro,-8.3862,115.28,22.0,95,73,0.56,ID,1720369061
224,vilyuchinsk,52.9306,158.4028,9.15,87,79,0.77,RU,1720369062
225,launceston,-41.45,147.1667,7.86,87,100,2.06,AU,1720369063
226,forster,-32.1667,152.5167,10.77,100,88,1.59,AU,1720369065
227,chapadinha,-3.7417,-43.3603,33.12,41,33,1.39,BR,1720369066
228,ciudad lazaro cardenas,17.9583,-102.2,28.96,68,84,0.74,MX,1720369067
229,la passe,45.5549,-0.8967,22.23,58,62,4.64,FR,1720369068
230,port lincoln,-34.7333,135.8667,11.7,91,100,3.91,AU,1720368901
231,weno,7.4515,151.8468,28.62,76,35,5.23,FM,1720369070
232,pachperwa,27.5167,82.65,26.81,87,90,2.11,IN,1720369071
233,vorgashor,67.5833,63.95,21.05,65,96,1.52,RU,1720369073
234,tawau,4.2498,117.8871,26.07,85,62,2.59,MY,1720369074
235,puerto deseado,-47.7503,-65.8938,2.74,68,27,4.69,AR,1720369075
236,kerikeri,-35.2268,173.9474,11.62,92,15,1.88,NZ,1720369076
237,uyuni,-20.4597,-66.825,9.45,22,48,9.06,BO,1720368920
238,itaituba,-4.2761,-55.9836,34.09,49,20,3.09,BR,1720369078
239,novi pazar,43.1367,20.5122,29.86,51,0,1.02,RS,1720369079
240,sos'va,59.1766,61.8558,20.33,67,9,0.8,RU,1720369080
241,dongola,19.1667,30.4833,41.72,9,5,5.06,SD,1720369081
242,bikenibeu village,1.3673,173.1241,27.98,83,100,2.06,KI,1720369082
243,shahrud,36.4182,54.9763,27.36,21,44,7.65,IR,1720369083
244,opuwo,-18.0607,13.84,24.56,15,1,6.34,NA,1720369084
245,hanzhong,33.0728,107.0303,23.89,95,100,1.06,CN,1720369085
246,atafu village,-8.5421,-172.5159,27.83,79,15,4.55,TK,1720369086
247,kutum,14.2,24.6667,29.51,29,89,5.4,SD,1720369087
248,sinop,41.7711,34.8709,23.09,72,6,2.81,TR,1720369088
249,ajodhya,26.8,82.2,26.54,91,100,5.39,IN,1720369089
250,touros,-5.1989,-35.4608,26.55,81,36,6.52,BR,1720369090
251,labrador city,52.9463,-66.9114,20.95,49,75,4.63,CA,1720368912
252,sola,-13.8833,167.55,25.56,71,99,11.47,VU,1720369093
253,vadso,70.0744,29.7487,16.49,67,75,8.75,NO,1720369094
254,illizi,26.4833,8.4667,42.89,8,0,6.77,DZ,1720369095
255,saint-philippe,-21.3585,55.7679,21.77,79,45,2.22,RE,1720369096
256,aswan,24.0934,32.907,39.11,12,79,6.04,EG,1720369097
257,dickinson,29.4608,-95.0513,32.05,88,75,8.23,US,1720368939
258,solnechnyy,50.7214,136.6319,11.46,94,100,4.5,RU,1720369099
259,kharp,66.8014,65.8081,20.89,63,92,1.24,RU,1720369100
260,ambovombe,-25.1667,46.0833,18.94,61,13,3.84,MG,1720369101
261,kapuskasing,49.4169,-82.4331,27.05,47,0,4.12,CA,1720368962
262,xiaodian,39.2519,117.2178,23.0,88,0,3.0,CN,1720369103
263,utraula,27.3167,82.4167,26.82,86,100,3.66,IN,1720369104
264,rajaori,33.3833,74.3,24.58,72,23,1.14,IN,1720369105
265,preobrazheniye,42.9019,133.9064,16.98,100,99,0.74,RU,1720369106
266,diego de almagro,-26.3667,-70.05,20.42,17,0,1.6,CL,1720369079
267,glace bay,46.1969,-59.957,22.87,90,100,6.17,CA,1720369108
268,vila franca do campo,37.7167,-25.4333,23.23,63,47,4.68,PT,1720369109
269,teknaf,20.8624,92.3058,27.57,87,100,3.49,BD,1720369110
270,tura,25.5198,90.2201,24.95,94,62,1.76,IN,1720369111
